full,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,ppm,team_rank
Olivier Giroud,Chelsea,1,5,253,6,144.8,4180,7200,16,8,105.39999999999999,316.20000000000005,988,0,0,0,0,741,0,4261702,55,68,598,68,9150,342535,333385,253.19999999999985,19.0,1,10.27431275192469,9.0
Antonio R?diger,Chelsea,0,5,351,5,93.30000000000001,3952,7200,24,2,67.69999999999999,389.40000000000003,1710,1,0,0,0,741,0,930198,55,68,194,63,14771,75109,60338,227.60000000000002,19.0,3,10.542372881355933,11.0
Kurt Zouma,Chelsea,0,2,432,7,40.1,17442,7200,37,0,71.7,518.0,2343,1,0,0,0,741,0,4930499,55,68,162,62,-105877,188909,294786,180.39999999999992,19.0,6,13.161173831234617,12.0
Reece James,Chelsea,2,5,373,5,428.80000000000007,19228,7200,23,0,91.79999999999998,343.59999999999997,1510,0,0,0,0,741,0,1215078,55,68,143,61,50099,177808,127709,189.60000000000002,19.0,1,12.25730292116847,13.0
Ross Barkley,Chelsea,5,5,208,5,344.30000000000007,4446,7200,14,1,98.2,266.0,1095,0,0,0,0,741,0,5121126,55,68,373,61,-390388,129294,519682,214.59999999999985,19.0,0,10.8378379467078,13.0
N'Golo Kant?,Chelsea,0,2,294,3,424.50000000000006,4522,7200,25,3,106.30000000000003,422.79999999999995,1730,0,0,0,0,741,0,12140871,55,68,214,57,-287011,440223,727234,190.0,19.0,4,11.4,15.0
Callum Hudson-Odoi,Chelsea,5,3,197,2,341.4000000000001,4408,7200,14,1,89.89999999999999,235.2,849,0,0,0,0,741,0,2006101,55,68,325,53,7971,340659,332688,210.00000000000003,19.0,1,9.615187814622029,16.0
Fikayo Tomori,Chelsea,0,7,271,4,68.60000000000001,20102,7200,18,1,48.500000000000014,335.4,1291,0,0,0,0,741,0,9160337,55,68,79,48,58304,846252,787948,172.39999999999992,19.0,3,10.24904445962566,17.0
Andreas Christensen,Chelsea,0,0,325,3,70.9,4104,7200,33,0,52.099999999999994,353.6,1751,0,0,0,0,741,0,1970023,55,68,96,34,-29778,92803,122581,186.30000000000018,19.0,5,6.957142857142859,18.0
Pedro Rodr?guez Ledesma,Chelsea,2,1,127,2,227.1,4332,7200,12,1,73.80000000000001,161.4,659,0,0,0,0,741,0,3853989,55,68,349,32,-151497,130741,282238,260.3000000000002,19.0,1,4.676470588235295,19.0
Michy Batshuayi,Chelsea,2,1,59,0,42.89999999999999,17518,7200,8,1,28.299999999999994,61.800000000000004,224,0,0,0,0,741,0,1434438,55,68,185,28,-37782,97709,135491,251.99999999999986,19.0,0,4.228855721393039,20.0
Emerson Palmieri dos Santos,Chelsea,0,0,181,1,298.7,4066,7200,21,0,73.2,207.79999999999998,1022,0,0,0,0,741,0,2542825,55,68,225,19,-53178,181578,234756,207.80000000000007,19.0,3,3.4579124579124603,21.0
Willy Caballero,Chelsea,0,0,74,1,0.0,4256,7200,7,0,9.0,90.2,450,0,0,0,0,741,10,612959,55,68,0,13,-5983,12246,18229,183.60000000000008,19.0,0,2.708333333333333,22.0
Ruben Loftus-Cheek,Chelsea,1,0,37,1,30.200000000000003,4370,7200,3,0,9.200000000000001,30.8,203,0,0,0,0,741,0,209774,55,68,33,12,-1380,17586,18966,238.50000000000014,19.0,0,2.0147549804398928,23.0
Billy Gilmour,Chelsea,0,0,41,1,55.3,18655,7151,3,0,9.100000000000001,31.4,191,0,0,0,0,735,0,262399,51,61,5,9,5532,42158,36626,155.6,18.0,0,2.031007751937984,24.0
Armando Broja,Chelsea,0,0,2,0,0.3,6310,3290,0,0,0.0,0.0,4,0,0,0,0,335,0,9649,11,26,0,1,364,1571,1207,45.0,5.0,0,0.222222222222222,25.0
Faustino Anjorin,Chelsea,0,0,1,0,1.2,6300,3290,0,0,1.0,0.0,19,0,0,0,0,335,0,2809,11,26,9,1,141,503,362,45.0,5.0,0,0.222222222222222,25.0
Tariq Lamptey,Chelsea,0,0,8,0,0.0,2344,832,0,0,0.0,0.0,31,0,0,0,0,86,0,14103,3,6,0,1,4177,6582,2405,16.0,1.0,0,0.25,25.0
Vicente Guaita,Crystal Palace,0,16,643,10,0.0,4978,7216,42,0,82.59999999999998,827.1999999999999,3150,1,0,0,0,741,111,4480229,36,45,0,137,45716,376601,330885,190.69999999999996,19.0,1,27.23329331732692,1.0
Jordan Ayew,Crystal Palace,3,19,443,12,445.6,17784,7216,45,9,192.4,597.4,3148,0,0,0,0,741,0,20389267,36,45,885,132,210119,1817836,1607717,192.8999999999999,19.0,6,26.08461538461538,2.0
Wilfried Zaha,Crystal Palace,6,4,337,9,588.0,5054,7216,46,4,226.39999999999998,571.9999999999999,3279,0,0,0,0,741,0,27912653,36,45,1103,120,-665968,1227951,1893919,257.0,19.0,5,17.80202732972135,3.0
Patrick van Aanholt,Crystal Palace,2,12,523,8,516.0,4674,7216,38,3,133.39999999999998,531.1999999999999,2507,1,0,0,0,741,0,19570064,36,45,285,109,-200338,971783,1172121,211.09999999999994,19.0,0,19.65909090909091,4.0
James McArthur,Crystal Palace,4,2,420,11,486.6,5244,7216,38,0,149.60000000000002,586.5999999999999,3091,0,0,0,0,741,0,2071584,36,45,421,92,-79351,48220,127571,199.69999999999987,19.0,6,17.50707119575044,5.0
Cheikhou Kouyat?,Crystal Palace,2,4,288,10,162.30000000000004,5282,7216,36,1,83.49999999999997,394.6,2524,0,0,0,0,741,0,557913,36,45,279,85,-479,35197,35676,186.30000000000013,19.0,4,17.351190476190478,6.0
Luka Milivojevic,Crystal Palace,1,9,382,7,499.0999999999999,5092,7216,38,3,114.89999999999998,460.0,2510,0,0,0,0,741,0,7341908,36,45,190,81,-386420,75285,461705,255.7999999999998,19.0,12,12.044402576085613,7.0
Joel Ward,Crystal Palace,1,8,392,7,116.99999999999999,4788,7216,36,0,59.49999999999999,426.99999999999994,2380,0,0,0,0,741,0,4629309,36,45,49,77,36063,361817,325754,167.10000000000008,19.0,4,17.49005729693292,8.0
Gary Cahill,Crystal Palace,1,4,395,7,40.0,19114,7216,35,0,83.39999999999999,448.4,2167,0,0,0,0,741,0,4110066,36,45,342,70,-68969,176006,244975,169.1000000000001,19.0,1,15.752525252525242,9.0
Martin Kelly,Crystal Palace,1,4,288,6,96.49999999999997,4864,7216,16,0,41.699999999999996,305.3999999999999,1547,0,0,0,0,741,0,65450913,36,45,15,64,-503196,2012814,2516010,158.70000000000002,19.0,0,15.402028959884875,10.0
